Country|Region|Lat|Lon|Type|Status|Amount
France|Chapelle-Largeau (La)-|46.946389|-0.8375|Vein|Depleted|500-1,000
France|Chardon (Le)|45.060833|4.711944|Vein|Depleted|2,500-5,000
France|Chateau-Chinon|47.044167|4.0225|Vein|Depleted|< 500
France|Commanderie (La)|42.614444|2.747222|Vein|Depleted|2,500-5,000
France|Coutras|45.040556|-0.128611|Sandstone-Tabular|Dormant|10,000-25,000
France|Loges (Les)|49.698333|0.283889|Vein|Depleted|500-1,000
France|Mares (Les)|49.121389|0.501111|Sandstone-|Depleted|500-1,000
France|Montulat|46.215278|1.336111|Vein|Dormant|1,000-2,500
France|Saint Hippolyte|43.965556|3.855833|Black Shales|Dormant|1,000-2,500
France|Saint.Pierre Du Cantal|45.388333|2.388056|Sandstone-Basal Channel|Depleted|1,000-2,500
France|Venachat|46.016667|1.316667|Vein|Depleted|500-1,000
Gabon|Mounana|-1.408333|13.158333|Sandstone-|Depleted|5,000-10,000
Germany|Annaberg|50.579444|13.006111|Vein|Depleted|500-1,000
Germany|Culmitzsch|50.766667|12.2|Sandstone-Tabular|Depleted|10,000-25,000
Germany|Grossschloppen|50.132778|11.936111|Vein|Dormant|1,000-2,500
Germany|Johanngeorgenstadt|50.4325|12.711389|Vein|Depleted|5,000-10,000
Germany|Koenigstein|50.179167|8.471111|Sandstone-Tabular|Depleted|10,000-25,000
Germany|Menzenschwand|47.825|8.072222|Vein|Dormant|2,500-5,000
Germany|Muellenbach|50.331389|6.939444|Sandstone-Tabular|Dormant|2,500-5,000
Germany|Niederschlema-|50.6025|12.672778|Vein|Depleted|> 100,000
Germany|Schneckenstein|50.416667|12.466667|Vein|Depleted|500-1,000
Germany|Tellerhauser|50.436111|12.891389|Vein|Closed|1,000-2,500
Germany|Zobes|50.509722|12.255|Vein|Depleted|5,000-10,000
Guinea|Firawa|9.216667|-9.783333|Vein|Exploration|UNKNOWN
Guyana|Aricheng|6.223611|-60.244722|Vein|Exploration|2,500-5,000
Hungary|Mecsek|46.166667|18.3|Sandstone-Tabular|Closed|25,000-50,000
India|Bhatin|33.271667|75.298056|Vein|Operating|1,000-2,500
India|Peddagattu|16.605278|79.224722|Unconformity-Proterozoic|Exploration|5,000-10,000
India|Tummalapalle-|16.473333|80.961667|Other|Operating|10,000-25,000
Indonesia|Rirang|-0.239722|110.843611|Vein|Dormant|< 500
Iran|Saghand|32.529167|55.242778|Metasomatite|Development|1,000-2,500
Italy|Novazza|45.967222|9.916944|Volcanic|Dormant|1,000-2,500
Jordan|Al-Abiad|31.8275|35.663611|Phosphorite|Dormant|UNKNOWN
Jordan|Siwaqa|31.361389|36.113889|Phosphorite|Dormant|25,000-50,000
Kazakhstan|Akdala|42.976389|67.872778|Unknown|Unknown|10,000-25,000
Kazakhstan|Balkashinskoye|52.517778|68.751389|Vein|Dormant|2,500-5,000
Kazakhstan|Bezymyannoye|52.859722|61.070833|Volcanic|Dormant|500-1,000
Kazakhstan|Budennovskoye|44.649444|78.752222|Sandstone-Roll Front|Standby|25,000-50,000
Kazakhstan|Burlukskoye|53.213333|67.636111|Vein|Dormant|2,500-5,000
Kazakhstan|Chaglinskoye|53.237222|69.255556|Vein|Dormant|10,000-25,000
Kazakhstan|Chayan|43.033889|69.380278|Sandstone-Roll Front|Dormant|500-1,000
Kazakhstan|Dzhidely|43.983333|66.55|Volcanic|Depleted|2,500-5,000
Kazakhstan|Granitnoye|50.348889|80.473056|Surficial|Dormant|500-1,000
Kazakhstan|Irkol|48.5|60.533333|Sandstone-Roll Front|Dormant|25,000-50,000
Kazakhstan|Ishimskoye|53.578333|66.805|Vein|Depleted|5,000-10,000
Kazakhstan|Kamyshevoe|50.716389|75.022778|Vein|Dormant|10,000-25,000
Kazakhstan|Kanzhugan|44.016944|69.018611|Sandstone-Roll Front|Operating|50,000-100,000
Kazakhstan|Kostobe|42.107222|69.836111|Volcanic|Depleted|500-1,000
Kazakhstan|Kyzylkol|51.021111|54.0175|Vein|Depleted|500-1,000
Kazakhstan|Kyzyltu|53.416667|62.033333|Sandstone-Roll Front|Dormant|10,000-25,000
Kazakhstan|Melovoye|51.15|51.483333|Phosphorite|Depleted|25,000-50,000
Kazakhstan|Mynkuduk|41.775833|67.715278|Sandstone-Roll Front|Operating|> 100,000
Kazakhstan|Shokpak|50.626111|75.0425|Vein|Dormant|2,500-5,000
Kazakhstan|Slavyanskoye|40.663333|68.545|Vein|Dormant|5,000-10,000
Kazakhstan|Talas|42.9|71.366667|Sandstone-Basal Channel|Dormant|500-1,000
Kazakhstan|Tortkuduk|52.031111|76.246944|Sandstone-Roll Front|Development|25,000-50,000
Kazakhstan|Uvanas|45.3225|69.077222|Sandstone-Roll Front|Operating|10,000-25,000
Kazakhstan|Vostok|52.665556|65.516667|Vein|Operating|10,000-25,000
Kazakhstan|Zaozernoye|53.985278|63.255|Vein|Dormant|10,000-25,000
Kazakhstan|Zarechnoye|53.197222|69.2225|Sandstone-Roll Front|Development|10,000-25,000
Kazakhstan|Zhalpak|42.949722|76.654167|Sandstone-Roll Front|Dormant|10,000-25,000
Kazakhstan|Zhautkan|42.090833|67.627222|Sandstone-Roll Front|Dormant|2,500-5,000
Kyrgyzstan|Shakaptar|41.248889|71.313333|Vein|Depleted|500-1,000
Kyrgyzstan|Sumsar|41.248889|71.313333|Unknown|Exploration|UNKNOWN
Madagascar|Antsirabe|-19.865833|47.033333|Sandstone-Tabular|Dormant|< 500
Madagascar|Folakara|-18.319722|45.043611|Sandstone-Roll Front|Dormant|5,000-10,000
Madagascar|Tranomaro|-24.6|46.466667|Intrusive|Exploration|1,000-2,500
Malawi|Kanyika|-12.709444|33.658056|Intrusive|Exploration|2,500-5,000
Malawi|Kayelekera|-9.976944|33.628889|Sandstone-Tabular|Development|5,000-10,000
Mali|Falea|12.264444|-11.275|Sandstone-Roll Front|Exploration|2,500-5,000
Mauritania|Bir En Nar|24.2|-10.25|Vein|Exploration|UNKNOWN
Mexico|Coneto|25.031111|-104.733889|Volcanic|Dormant|500-1,000
Mexico|El Nopal|17.882778|-93.051944|Volcanic|Dormant|1,000-2,500
Mexico|La Coma|25.879722|-98.761111|Sandstone-Roll Front|Dormant|500-1,000
Mexico|La Sierrita|32.173333|-116.518611|Sandstone-Roll Front|Dormant|2,500-5,000
Mexico|Los Amoles|28.439444|-109.348889|Volcanic|Dormant|1,000-2,500
Mexico|Santa Catarina Tayata|17.346944|-97.556944|Volcanic|Dormant|< 500
Mexico|Santo Domingo|16.324444|-95.240833|Phosphorite|Dormant|50,000-100,000
Mongolia|Khairkhan|48.606667|101.936944|Sandstone-Tabular|Exploration|2,500-5,000
Mongolia|Kharat|44.966667|97.75|Sandstone-Tabular|Dormant|10,000-25,000
Mongolia|Nars|50.2|106.5|Sandstone-Tabular|Dormant|2,500-5,000
Mongolia|Ulaan Nuur|49.981111|92.066667|Sandstone-Tabular|Exploration|5,000-10,000
Morocco|Gantour, Ganntour|32.158333|-8.405|Phosphorite|Dormant|25,000-50,000
Namibia|Aussinanis|-23.466667|14.95|Surficial|Exploration|2,500-5,000
Namibia|Goanikontes|-22.666667|14.833333|Intrusive|Dormant|5,000-10,000
Namibia|Namib Park|-23.083333|15.166667|Surficial|Exploration|2,500-5,000
Namibia|Roessing|-22.633333|14.65|Intrusive|Operating|> 100,000
Namibia|Trekkopje|-22.3|15.116667|Surficial|Development|2,500-5,000
Namibia|Tubas|-22.912778|14.59|Surficial|Exploration|10,000-25,000
Namibia|Tumas|-23.133333|15.35|Surficial|Exploration|2,500-5,000
Namibia|Valencia|-23.133333|16.466667|Intrusive|Exploration|10,000-25,000
Niger|Akola|14.344444|6.656111|Sandstone-Tabular|Operating|25,000-50,000
Niger|Azelik|17.242778|9.231667|Sandstone-Tabular|Exploration|10,000-25,000
Niger|Ebala|18.536667|7.355556|Sandstone-Tabular|Exploration|25,000-50,000
Niger|Imouraren|18.188333|7.284167|Sandstone-Roll Front|Development|> 100,000
Niger|In Gall|16.787778|6.934167|Sandstone-Tabular|Exploration|1,000-2,500
Niger|Madaouela|18.657778|7.600278|Sandstone-Tabular|Exploration|5,000-10,000
Niger|Takriza|18.832778|7.823611|Sandstone-Tabular|Depleted|5,000-10,000
Niger|Tamgak|19.166667|8.75|Sandstone-Tabular|Exploration|25,000-50,000
