 |Mine Name|Mine Name AKAs|Mine Name (Non-ENG)|GEM Wiki Page (ENG)|GEM Wiki Page (Non-ENG)|Status|Status Detail|Project Type|Project Phase|Operators|Owners|Parent Company|Company HQs|Production or Capacity Data (Mtpa)|Coal Output (Annual, Mt)|Coal Output (Annual, Mst)|Mine Type|Mining Method|Mine Size (Km2)|Mine Depth (m)|Depth Accuracy|Workforce Size|Coal Type|Coal Grade|Reserves Total (Proven & Probable)|Proven Reserve|Probable Reserve|Resource (Measured)|Resource (Indicated)|Resource (Measured + Indicated)|Resource (Total - Inferred, Indicated, Measured)|Reserve to Production Ratio (R/P)|Opening Year|Reported Life of Mine|Coalfield|Location|Prefecture, District|State, Province|Country|ISO Code|Region|Latitude|Longitude|Location Accuracy|Primary Consumer, Destination|Coal Plant, Steel Plant, Terminal|Coal Plant, Steel Plant, Terminal GEM Wiki|Methane Gas Content (m^3/tonne)|Coal Mine Methane Emissions Estimate (MCM/yr)|CMM Emissions (CO2e 100 years)|Carbon Dioxide Emissions (Mt CO2/yr)
M3105|Jungar Xiehua Coal Mine||内蒙古特弘煤电集团有限责任公司协华煤矿|https://www.gem.wiki/Jungar_Xiehua_Coal_Mine|https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E7%89%B9%E5%BC%98%E7%85%A4%E7%94%B5%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E5%8D%8F%E5%8D%8E%E7%85%A4%E7%9F%BF|Proposed|Construction|Expansion||Inner Mongolia Tehong Coal and Electricity Group Co., Ltd. Xiehua Coal Mine|Inner Mongolia Tehong Coal Power Group Co., Ltd.|Inner Mongolia Tehong Coal Power Group|China|Capacity|0.9||Underground||5. 0435|456|Estimate||Bituminous|Thermal|-|-|-|-|-|-|27|-|TBD||Jungar Coalfield|Tanggongta Village, Youyi Street|Ordos City|Inner Mongolia|China|156|East Asia|39.836591|111.291878|Exact||||13.2|19.0|0.4|2.16
M3106|Jungar Zhaofu Coal Mine||准格尔旗召富煤炭有限责任公司煤矿|https://www.gem.wiki/Jungar_Zhaofu_Coal_Mine|https://www.gem.wiki/%E5%87%86%E6%A0%BC%E5%B0%94%E6%97%97%E5%8F%AC%E5%AF%8C%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%85%A4%E7%9F%BF|Proposed|Announced|Expansion||Jungar Banner Zhaofu Coal Co., Ltd.|Inner Mongolia Sidaoliu Coal Co., Ltd.|Inner Mongolia Sidaoliu Coal Company|China|Capacity|1.2||Surface|Open Pit|7.42|280|Estimate||Bituminous|Thermal|39|-|-|-|-|-|51|33|TBD||Jungar Coalfield|Liang'anyao Village, Xuejiawan Town|Ordos City|Inner Mongolia|China|156|East Asia|39.882934|111.359854|Approximate||||10.5|18.9|0.4|2.88
M3107|Jungar Zhunlian Coal Mine||准格尔旗准联煤炭有限责任公司煤矿|https://www.gem.wiki/Jungar_Zhunlian_Coal_Mine|https://www.gem.wiki/%E5%87%86%E6%A0%BC%E5%B0%94%E6%97%97%E5%87%86%E8%81%94%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%85%A4%E7%9F%BF|Proposed|Construction|Expansion||Jungar Banner Zhunlian Coal Co., Ltd.|Ordos Kaiyuan Investment Co., Ltd.[63.3333%]; Ordos Fuxiang Xinda Trading Co., Ltd.[36.6667%]|Ordos Kaiyuan Investment Company|China|Capacity|1.8||Surface|Open Pit|2.60|280|Estimate||Bituminous|Thermal|-|-|-|-|-|-|21|-|TBD||Dongsheng Coalfield|Narisong Town|Ordos City|Inner Mongolia|China|156|East Asia|39.401172|110.41917|Approximate||||10.5|28.4|0.6|4.32
M0270|Kabuqi Coal Mine||乌海市温明矿业有限责任公司卡布其煤矿|https://www.gem.wiki/Kabuqi_open-pit_coal_mine|https://www.gem.wiki/乌海市温明矿业有限责任公司卡布其煤矿|Operating||||Wuhai Wenming Mining Company|Inner Mongolia Tianyu Innovation Investment Group|Inner Mongolia Tianyu Innovation Investment Group|China|Capacity|1.2||Surface|Open Pit|2.26|50|Estimate||Subbituminous|Thermal|10|-|-|-|-|-|-|8|2021|8|Zhuozishan||Wuhai|Inner Mongolia|China|156|East Asia|39.623996|106.892109|Exact||||0.8|1.4|0.0|2.14
M2012|Kaichuan Coal Mine||山西方山金晖凯川煤业有限公司|https://www.gem.wiki/Kaichuan_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%96%B9%E5%B1%B1%E9%87%91%E6%99%96%E5%87%AF%E5%B7%9D%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Fangshan Jinhui Kaichuan Coal Industry Company|Jizhong Energy Group Company|Jizhong Energy Group|China|Capacity|1.2||Underground|Longwall|3.621|934|Exact||Bituminous|Met|13|-|-|-|-|-|-|11|2003|0|Hedong|Xiazhuang Village, Dawu Town|Luliang|Shanxi|China|156|East Asia|37.70135|111.109599|Exact||||17|32.6|0.7|3.15
M1401|Kaida Coal Mine||内蒙古伊泰煤炭股份有限公司凯达煤矿|https://www.gem.wiki/Kaida_Coal_Mine|https://www.gem.wiki/内蒙古伊泰煤炭股份有限公司凯达煤矿|Operating||||Inner Mongolia Yitai Coal Company|Yitai Group (40.17%), B shares (40.18%), H shares (10.02%)|Yitai Group (40.17%), B shares (40.18%), H shares (10.02%)|China|Capacity|1.5||Underground||45.7488|456|Estimate||Bituminous||110|-|-|-|-|-|-|74||||Narisong Town|Ordos|Inner Mongolia|China|156|East Asia|39.345813|110.59626|Approximate||||13.2|31.7|0.6|3.60
M2921|Kaitong Open-Pit Coal Mine||包头市石拐区凯通露天煤矿|https://www.gem.wiki/Kaitong_OpenPit_Coal_Mine|https://www.gem.wiki/%E5%8C%85%E5%A4%B4%E5%B8%82%E7%9F%B3%E6%8B%90%E5%8C%BA%E5%87%AF%E9%80%9A%E9%9C%B2%E5%A4%A9%E7%85%A4%E7%9F%BF|Operating||||Baotong Kaitong Mining Industry Company|Baotong Kaitong Mining Industry Company|Baotong Kaitong Mining Industry Company|China|Capacity|0.9||Surface|Open Pit||60|Estimate||Bituminous||-|-|-|-|-|-|-|-|2017||||Baotou|Inner Mongolia|China|156|East Asia|40.6371400|110.292409|Exact||||3.5|4.7|0.1|2.16
M1157|Kaiyuan Coal Mine||阳煤集团寿阳开元矿业有限责任公司|https://www.gem.wiki/Kaiyuan_Coal_Mine|https://www.gem.wiki/%E9%98%B3%E7%85%A4%E9%9B%86%E5%9B%A2%E5%AF%BF%E9%98%B3%E5%BC%80%E5%85%83%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8|Operating||||Shanxi Huayang Group New Energy Company(56.73%) , ABC Financial Assets Investment Company.(43.27%)|Huayang New Material Technology Group Company(Former name: Yang Quan Coal Industry Group Company)|Huayang New Material Technology Group|China|Capacity|3||Underground|Longwall|27.9|490|Estimate|3291|Anthracite|Thermal|303|-|-|-|-|-|-|101|2003|35|Qinshui|Pingshu Town|Jinzhong|Shanxi|China|156|East Asia|37.962314|113.029653|Exact||||24.1|115.7|2.3|7.74
M2013|Kaiyuan Surface Coal Mine||木垒县凯源煤炭有限责任公司煤矿|https://www.gem.wiki/Kaiyuan_Surface_Coal_Mine|https://www.gem.wiki/%E6%9C%A8%E5%9E%92%E5%8E%BF%E5%87%AF%E6%BA%90%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%85%A4%E7%9F%BF|Proposed|Announced|New||Mulei Kaiyuan Coal Company|Mingji Kaiyuan Investment Company|Mingji Kaiyuan Investment Company|China|Capacity|1.2||Underground|Longwall|4.1123|69|Exact|304|Bituminous|Thermal|3|-|-|-|-|-|-|3||3|Zhundong|Beitashan|Changji|Xinjiang|China|156|East Asia|44.550543|90.402931|Exact|Coal Plant|Xinjiang Huadian Xiheishan Power Generation||8.9|17.1|0.3|2.88
M3108|Kangwei Nanshan Coal Mine||山西康伟集团南山煤业有限公司|https://www.gem.wiki/Kangwei_Nanshan_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%BA%B7%E4%BC%9F%E9%9B%86%E5%9B%A2%E5%8D%97%E5%B1%B1%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Kangwei Group Nanshan Coal Industry Company|Yongtai Technology Investment Company|Yongtai Technology Investment Company|China|Capacity|0.9||Underground|Longwall|8.16|969|Exact|853|Bituminous|Thermal & Met|43|-|-|-|-|-|-|48|2010|32|Qinshui Coalfield|Shuiquanping Village, Lingkongshan Town|Changzhi|Shanxi|China|156|East Asia|36.538648|112.152196|Exact||||17.2|24.8|0.5|2.16
M2434|Kejian Coal Mine||内蒙古科建煤炭有限责任公司煤矿|https://www.gem.wiki/Kejian_Coal_Mine|https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E7%A7%91%E5%BB%BA%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%85%A4%E7%9F%BF|Operating||||Inner Mongolia Kejian Coal Company|Zhongwei Investment Company|Zhongwei Investment Company|China|Capacity|1.8||Surface|Open Pit||60|Estimate||Bituminous||-|-|-|-|-|-|-|-||||Bainijing|Ordos|Inner Mongolia|China|156|East Asia|39.615948|110.29172|Exact||||3.5|9.5|0.2|4.32
M1158|Kekegai Coal Mine||陕西延长石油榆林可可盖煤业有限公司|https://www.gem.wiki/Kekegai_Coal_MIne|https://www.gem.wiki/%E9%99%95%E8%A5%BF%E5%BB%B6%E9%95%BF%E7%9F%B3%E6%B2%B9%E6%A6%86%E6%9E%97%E5%8F%AF%E5%8F%AF%E7%9B%96%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Proposed|Construction|New||Shaanxi Yanchang Petroleum Yulin Kekegai Coal Industry Company|Shaanxi Yanchang Petroleum Group|Shaanxi Yanchang Petroleum Group|China|Capacity|10||Underground||176.68|456|Estimate||Bituminous||930|-|-|-|-|-|-|93|TBD||Shaabei Jurassic coal field(Yuheng mining area)|Xiaojihan Town|Yulin|Shaanxi|China|156|East Asia|38.443592|109.579101|Approximate||||13.2|211.2|4.2|24.00
M3109|Kexing Longma Coal Mine||山西高平科兴龙马煤业有限公司|https://www.gem.wiki/Kexing_Longma_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E9%AB%98%E5%B9%B3%E7%A7%91%E5%85%B4%E9%BE%99%E9%A9%AC%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Gaoping Kexing Longma Coal Industry Company|Gaoping Economic and Trade Asset Operation Company|Gaoping Economic and Trade Asset Operation Company|China|Capacity|0.9||Underground|Longwall|3.33|650|Exact|864|Anthracite|Thermal|15|-|-|-|-|-|-|17|1985|9|Qinshui Coalfield|Macun Village, Macun Town|Jincheng|Shanxi|China|156|East Asia|35.73477|112.80801|Exact||||25.9|37.3|0.7|2.32
M3110|Kexing Pingquan Coal Mine||山西高平科兴平泉煤业有限公司|https://www.gem.wiki/Kexing_Pingquan_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E9%AB%98%E5%B9%B3%E7%A7%91%E5%85%B4%E5%B9%B3%E6%B3%89%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Gaoping Kexing Pingquan Coal Industry Company|Gaoping Economic and Trade Asset Operation Company|Gaoping Economic and Trade Asset Operation Company|China|Capacity|0.9||Underground|Longwall|9.72|775|Exact|813|Anthracite|Thermal|12|-|-|-|-|-|-|13|1982|8|Qinshui Coalfield|Macun，Macun Town|Jincheng|Shanxi|China|156|East Asia|35.71756|112.805571|Exact||||26.8|38.6|0.8|2.32
M3111|Kexing Xinzhuang Coal Mine||山西高平科兴新庄煤业有限公司|https://www.gem.wiki/Kexing_Xinzhuang_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E9%AB%98%E5%B9%B3%E7%A7%91%E5%85%B4%E6%96%B0%E5%BA%84%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Gaoping Kexing Xinzhuang Coal Industry Company|Gaoping Economic and Trade Asset Operation Company|Gaoping Economic and Trade Asset Operation Company|China|Capacity|0.9||Underground|Longwall|7.10|650|Exact|1406|Anthracite|Thermal|23|-|-|-|-|-|-|26|1955|17|Qinshui Coalfield|Xinzhuang Village, Hexi Town|Jincheng|Shanxi|China|156|East Asia|35.687728|112.921657|Exact||||25.9|37.3|0.7|2.32
M3112|Kexing Youxianshan Coal Mine||山西高平科兴游仙山煤业有限公司|https://www.gem.wiki/Kexing_Youxianshan_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E9%AB%98%E5%B9%B3%E7%A7%91%E5%85%B4%E6%B8%B8%E4%BB%99%E5%B1%B1%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Gaoping Kexing Youxianshan Coal Industry Company|Gaoping Economic and Trade Asset Operation Company|Gaoping Economic and Trade Asset Operation Company|China|Capacity|0.9||Underground|Longwall|8.95|740|Exact|1083|Anthracite|Thermal|24|-|-|-|-|-|-|27|1997|17|Qinshui Coalfield|Zhangjiazhuang, ChenquTown|Jincheng|Shanxi|China|156|East Asia|35.841347|113.013268|Exact||||26.6|38.3|0.8|2.32
M3113|Kexing Yunquan Coal Mine||山西高平科兴云泉煤业有限公司|https://www.gem.wiki/Kexing_Yunquan_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E9%AB%98%E5%B9%B3%E7%A7%91%E5%85%B4%E4%BA%91%E6%B3%89%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Gaoping Kexing Yunquan Coal Industry Company|Gaoping Economic and Trade Asset Operation Company|Gaoping Economic and Trade Asset Operation Company|China|Capacity|0.9||Underground|Longwall|8.49|900|Exact|1426|Anthracite|Thermal|32|-|-|-|-|-|-|36|1981|23|Qinshui Coalfield|Yundong Village, Mishan Town|Jincheng|Shanxi|China|156|East Asia|35.797479|113.040898|Exact||||27.6|39.7|0.8|2.32
M2014|Kongzhuang Coal Mine||上海大屯能源股份有限公司孔庄煤矿|https://www.gem.wiki/Kongzhuang_Coal_Mine|https://www.gem.wiki/%E4%B8%8A%E6%B5%B7%E5%A4%A7%E5%B1%AF%E8%83%BD%E6%BA%90%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%AD%94%E5%BA%84%E7%85%A4%E7%9F%BF|Operating||||Shanghai Datun Energy Company Kongzhuang Coal Mine|China National Coal Group Corporation|China Coal|China|Capacity|1.44||Underground|Longwall|44.1355|1500|Exact|2217|Bituminous|Met|66|-|-|-|-|-|-|46|1977|33|Peixian|Kongzhuang Mine|Xuzhou|Jiangsu|China|156|East Asia|34.782041|116.954253|Exact||||18.5|42.6|0.9|3.78
M0271|Kouzi East Coal Mine||中煤新集能源股份有限公司口孜东矿|https://www.gem.wiki/Kouzi_East_Coal_Mine|https://www.gem.wiki/%E4%B8%AD%E7%85%A4%E6%96%B0%E9%9B%86%E8%83%BD%E6%BA%90%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%8F%A3%E5%AD%9C%E4%B8%9C%E7%9F%BF|Operating||||China Coal Xinji Energy|China Coal (30%), Guohua Energy Company (7%), Anhui Xinji Coal and Electricity Group (7%) China COSCO Shipping (56%)|China Coal (30%), Guohua Energy Company (7%), Anhui Xinji Coal and Electricity Group (7%) China COSCO Shipping (56%)|China|Capacity|5||Underground||33.60|456|Estimate||Bituminous|Thermal & Met|382|-|-|-|-|-|-|76|2014|60|Huai Nan coal field||Fuyang|Anhui|China|156|East Asia|32.833342|116.162687|Exact||||13.2|105.6|2.1|12.00
M2462|Kuche Dapingtan Coal Mine||国电青松库车矿业开发有限公司新疆阿克苏地区库车县大平滩煤矿|https://www.gem.wiki/Kuche_Dapingtan_Coal_Mine|https://www.gem.wiki/%E5%9B%BD%E7%94%B5%E9%9D%92%E6%9D%BE%E5%BA%93%E8%BD%A6%E7%9F%BF%E4%B8%9A%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%96%B0%E7%96%86%E9%98%BF%E5%85%8B%E8%8B%8F%E5%9C%B0%E5%8C%BA%E5%BA%93%E8%BD%A6%E5%8E%BF%E5%A4%A7%E5%B9%B3%E6%BB%A9%E7%85%A4%E7%9F%BF|Proposed|Construction|New||National Energy Group Qingsong Kuche Mining Development Company|National Energy Investment Group Company|China Energy|China|Capacity|2.4||Underground||13.886|456|Estimate||Anthracite|Thermal|163|-|-|-|-|-|230|68|TBD||Kubai|A'ge Township|Aksu Prefecture|Xinjiang|China|156|East Asia|42.219375|83.228272|Exact||||23.5|90.2|1.8|6.19
M2401|Kuli Huoshatu Coal Mine||内蒙古蒙西矿业有限公司库里火沙兔煤矿|https://www.gem.wiki/Kuli_Huoshatu_Coal_Mine|https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E8%92%99%E8%A5%BF%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%BA%93%E9%87%8C%E7%81%AB%E6%B2%99%E5%85%94%E7%85%A4%E7%9F%BF|Operating||||Inner Mongolia Mengxi Mining Company|Inner Mongolia Xinya Energy Investment Group Company|Inner Mongolia Xinya Energy Investment Group Company|China|Capacity|1.2||Underground|Longwall|7.941|1000|Exact|952|Bituminous|Met|50|-|-|-|-|-|-|42|2016||Zhuozishan|Arbas Sum|Ordos|Inner Mongolia|China|156|East Asia|39.465275|107.142482|Exact||||17.3|33.2|0.7|3.15
M2015|Langwoqu Coal Mine||神木狼窝渠矿业有限公司（曾用名：神木县孙家岔镇狼窝渠煤矿）|https://www.gem.wiki/Langwoqu_Coal_Mine|https://www.gem.wiki/%E7%A5%9E%E6%9C%A8%E7%8B%BC%E7%AA%9D%E6%B8%A0%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shenmu Langwoqu Mining Company|Shenmu Langwoqu Mining Company|Shenmu Langwoqu Mining Company|China|Capacity|2.4||Underground|Longwall|6.1803|218|Exact||Bituminous|Thermal|56|-|-|-|-|-|-|23|2013|17|Shenfu|Zhangjiagou Village, Sunjiacha Town|Yulin|Shaanxi|China|156|East Asia|39.059433|110.29665|Exact||||9|34.6|0.7|5.76
M3114|Lanhua Baoxin Coal Mine||山西古县兰花宝欣煤业有限公司|https://www.gem.wiki/Lanhua_Baoxin_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%8F%A4%E5%8E%BF%E5%85%B0%E8%8A%B1%E5%AE%9D%E6%AC%A3%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Guxian Lanhua Baoxin Coal Industry Company|Jincheng State-owned Capital Investment and Operation Company (56.74%), Qinhe Energy Group Company (28.01%), Zezhou County State-owned Capital Investment and Operation Company (8.39%), Gaoping State-owned Capital Investment and Operation Group Company (6.86%)|Jincheng State-owned Capital Investment and Operation Company (56.74%), Qinhe Energy Group Company (28.01%), Zezhou County State-owned Capital Investment and Operation Company (8.39%), Gaoping State-owned Capital Investment and Operation Group Company (6.86%)|China|Capacity|0.9||Underground|Longwall|6.02|456|Estimate|759|Bituminous|Met|8|-|-|-|-|-|-|9|2011|6|Huoxi Coalfield|Jiazhai Village, Beiping Town|Linfen|Shanxi|China|156|East Asia|36.472164|112.150625|Exact||||13.2|19.0|0.4|2.36
M3115|Lanhua Jushan Coal Mine||山西兰花集团莒山煤矿有限公司|https://www.gem.wiki/Lanhua_Jushan_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%85%B0%E8%8A%B1%E9%9B%86%E5%9B%A2%E8%8E%92%E5%B1%B1%E7%85%A4%E7%9F%BF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Lanhua Group Jushan Coal Mine Company|Jincheng State-owned Capital Investment and Operation Company|Jincheng State-owned Capital Investment and Operation Company|China|Capacity|0.9||Underground|Longwall|9.02|759|Exact|1294|Anthracite|Thermal|40|-|-|-|-|-|-|45|2003|31|Qinshui Coalfield|Sanjiadian Village, Bagong Town|Jincheng|Shanxi|China|156|East Asia|35.671819|112.885921|Exact||||26.7|38.4|0.8|2.32
M3116|Lanhua Kouqian Coal Mine||山西朔州山阴兰花口前煤业有限公司|https://www.gem.wiki/Lanhua_Kouqian_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%9C%94%E5%B7%9E%E5%B1%B1%E9%98%B4%E5%85%B0%E8%8A%B1%E5%8F%A3%E5%89%8D%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Shuozhou Shanyin Lanhua Kouqian Coal Industry Company|Jincheng State-owned Capital Investment and Operation Company (56.74%), Qinhe Energy Group Company (28.01%), Zezhou County State-owned Capital Investment and Operation Company (8.39%), Gaoping State-owned Capital Investment and Operation Group Company (6.86%)|Jincheng State-owned Capital Investment and Operation Company (56.74%), Qinhe Energy Group Company (28.01%), Zezhou County State-owned Capital Investment and Operation Company (8.39%), Gaoping State-owned Capital Investment and Operation Group Company (6.86%)|China|Capacity|0.9||Underground|Longwall|4.30|456|Estimate|265|Bituminous|Thermal|34|-|-|-|-|-|-|38|2001|24|Qinshui Coalfield|Kouqian Village, Yujing Town|Shuozhou|Shanxi|China|156|East Asia|39.694072|112.617277|Exact||||13.2|19.0|0.4|2.16
M3117|Lanhua Wangyun Coal Mine||山西兰花科技创业股份有限公司望云煤矿分公司|https://www.gem.wiki/Lanhua_Wangyun_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%85%B0%E8%8A%B1%E7%A7%91%E6%8A%80%E5%88%9B%E4%B8%9A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%9C%9B%E4%BA%91%E7%85%A4%E7%9F%BF%E5%88%86%E5%85%AC%E5%8F%B8|Operating||||Shanxi Lanhua Technology Venture CompanyWangyun Coal Mine Branch|Jincheng State-owned Capital Investment and Operation Company (56.74%), Qinhe Energy Group Company (28.01%), Zezhou County State-owned Capital Investment and Operation Company (8.39%), Gaoping State-owned Capital Investment and Operation Group Company (6.86%)|Jincheng State-owned Capital Investment and Operation Company (56.74%), Qinhe Energy Group Company (28.01%), Zezhou County State-owned Capital Investment and Operation Company (8.39%), Gaoping State-owned Capital Investment and Operation Group Company (6.86%)|China|Capacity|0.9||Underground|Longwall|16.65|456|Estimate|1680|Anthracite|Thermal|47|-|-|-|-|-|-|52|1999|36|Qinshui Coalfield|Wangyun Village, Sizhuang Town|Jincheng|Shanxi|China|156|East Asia|35.889087|112.870158|Exact||||23.5|33.8|0.7|2.32
M3118|Lanxian Changheng Coal Mine||山西岚县昌恒煤焦有限公司|https://www.gem.wiki/Lanxian_Changheng_Coal_Mine|https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%B2%9A%E5%8E%BF%E6%98%8C%E6%81%92%E7%85%A4%E7%84%A6%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8|Operating||||Shanxi Lanxian Changheng Coal Coke Company|Wanbei Coal & Electrical Group CompanyWanbei Coal & Electrical Group Company|Wanbei Coal & Electrical Group|China|Capacity|0.9||Underground|Longwall|3.00|456|Estimate|658|Bituminous|Met|29|-|-|-|-|-|-|32|2007|16|Ningwu Coalfield|Xiahui Village, Sheke Township|Luliang|Shanxi|China|156|East Asia|38.23397|111.719137|Exact||||13.2|19.0|0.4|2.36
M2016|Laogongyingzi Coal Mine||内蒙古平庄煤业(集团)有限责任公司老公营子煤矿|https://www.gem.wiki/Laogongyingzi_Coal_Mine|https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E5%B9%B3%E5%BA%84%E7%85%A4%E4%B8%9A(%E9%9B%86%E5%9B%A2)%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E8%80%81%E5%85%AC%E8%90%A5%E5%AD%90%E7%85%A4%E7%9F%BF|Operating||||Inner Mongolia Pingzhuang Coal Group|National Energy Investment Group Company|China Energy|China|Capacity|1.8||Underground|Longwall|5.949|550|Exact|1406|Lignite|Thermal|124|-|-|-|-|-|-|69|2008|33||Fengshuigou|Chifeng|Inner Mongolia|China|156|East Asia|42.372657|119.347942|Exact||||4.8|13.8|0.3|2.13
M2017|Laohutai Coal Mine||抚顺矿业集团有限责任公司老虎台矿|https://www.gem.wiki/Laohutai_Coal_Mine|https://www.gem.wiki/%E6%8A%9A%E9%A1%BA%E7%9F%BF%E4%B8%9A%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E8%80%81%E8%99%8E%E5%8F%B0%E7%9F%BF|Operating||||Fushun Mining Group Co., Laohutai Coal Mine|Liaoning Energy Industry Holding Group Company|Liaoning Energy Industry Holding Group|China|Capacity|2.4||Underground|Longwall|6.886|580|Exact|2734|Bituminous|Thermal & Met|21|-|-|-|-|-|-|9|1904|6|Fushun|Hutai Street, Huwan Road|Fushun|Liaoning|China|156|East Asia|41.844669|123.941153|Exact||||14.6|56.1|1.1|5.76
M2423|Laoshidan Coal Mine||国家能源集团乌海能源有限责任公司老石旦煤矿|https://www.gem.wiki/Laoshidan_Coal_Mine|https://www.gem.wiki/%E5%9B%BD%E5%AE%B6%E8%83%BD%E6%BA%90%E9%9B%86%E5%9B%A2%E4%B9%8C%E6%B5%B7%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E8%80%81%E7%9F%B3%E6%97%A6%E7%85%A4%E7%9F%BF|Operating||||National Energy Group Wuhai Energy Company. Laoshidan Coal Mine|National Energy Investment Group Company|China Energy|China|Capacity|1.5||Underground|Longwall|9.7764|375|Exact|759|Bituminous|Met|18|-|-|-|-|-|-|12|2002|10|Zhuozishan|Laoshidan|Wuhai|Inner Mongolia|China|156|East Asia|39.391211|106.848993|Exact||||12.1|29.0|0.6|3.93
